"pile_id","station_id","label","network","connector_type","power_kw","price_per_kwh","deployment_stage","operational_state","is_synthetic","synthetic_fields","source_name","source_station_record_id","dataset"
"mevnet-2-pile-003","mevnet-2","Bay 03",,"CCS2","120","1.5","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","2","full"
"mevnet-2-pile-004","mevnet-2","Bay 04",,"Type 2","7","0.75","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","2","full"
"mevnet-2-pile-005","mevnet-2","Bay 05",,"Type 2","11","0.9","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","2","full"
"mevnet-2-pile-006","mevnet-2","Bay 06",,"CCS2","60","1.35","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","2","full"
"mevnet-2-pile-007","mevnet-2","Bay 07",,"Type 2","7","0.75","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","2","full"
"mevnet-2-pile-008","mevnet-2","Bay 08",,"Type 2","11","0.9","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","2","full"
"mevnet-3-pile-001","mevnet-3","Bay 01",,"Type 2","7","0.75","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","3","full"
"mevnet-3-pile-002","mevnet-3","Bay 02",,"Type 2","11","0.9","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","3","full"
"mevnet-4-pile-001","mevnet-4","Bay 01",,"Type 2","7","0.75","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","4","full"
"mevnet-4-pile-002","mevnet-4","Bay 02",,"Type 2","11","0.9","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","4","full"
"mevnet-5-pile-001","mevnet-5","Bay 01",,"Type 2","7","0.75","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","5","full"
"mevnet-5-pile-002","mevnet-5","Bay 02",,"Type 2","11","0.9","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","5","full"
"mevnet-6-pile-001","mevnet-6","Bay 01",,"Type 2","7","0.75","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","6","full"
"mevnet-6-pile-002","mevnet-6","Bay 02",,"Type 2","11","0.9","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","6","full"
"mevnet-7-pile-001","mevnet-7","Bay 01",,"Type 2","7","0.75","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","7","full"
"mevnet-7-pile-002","mevnet-7","Bay 02",,"Type 2","11","0.9","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","7","full"
"mevnet-8-pile-001","mevnet-8","Bay 01",,"Type 2","7","0.75","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","8","full"
"mevnet-9-pile-001","mevnet-9","Bay 01",,"Type 2","7","0.75","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","9","full"
"mevnet-9-pile-002","mevnet-9","Bay 02",,"Type 2","11","0.9","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","9","full"
"mevnet-10-pile-001","mevnet-10","Bay 01","ChargeSini","Type 2","7","0.75","existing","available","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","10","full"
"mevnet-10-pile-002","mevnet-10","Bay 02","ChargeSini","Type 2","11","0.9","existing","available","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","10","full"
"mevnet-10-pile-003","mevnet-10","Bay 03","ChargeSini","CCS2","120","1.5","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","10","full"
"mevnet-10-pile-004","mevnet-10","Bay 04","ChargeSini","Type 2","7","0.75","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","10","full"
"mevnet-11-pile-001","mevnet-11","Bay 01",,"Type 2","7","0.75","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","11","full"
"mevnet-11-pile-002","mevnet-11","Bay 02",,"Type 2","11","0.9","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","11","full"
"mevnet-11-pile-003","mevnet-11","Bay 03",,"CCS2","120","1.5","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","11","full"
"mevnet-11-pile-004","mevnet-11","Bay 04",,"Type 2","7","0.75","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","11","full"
"mevnet-11-pile-005","mevnet-11","Bay 05",,"Type 2","11","0.9","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","11","full"
"mevnet-12-pile-001","mevnet-12","Bay 01",,"Type 2","7","0.75","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","12","full"
"mevnet-12-pile-002","mevnet-12","Bay 02",,"Type 2","11","0.9","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","12","full"
"mevnet-12-pile-003","mevnet-12","Bay 03",,"CCS2","120","1.5","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","12","full"
"mevnet-13-pile-001","mevnet-13","Bay 01",,"Type 2","7","0.75","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","13","full"
"mevnet-13-pile-002","mevnet-13","Bay 02",,"Type 2","11","0.9","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","13","full"
"mevnet-14-pile-001","mevnet-14","Bay 01",,"Type 2","7","0.75","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","14","full"
"mevnet-14-pile-002","mevnet-14","Bay 02",,"Type 2","11","0.9","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","14","full"
"mevnet-14-pile-003","mevnet-14","Bay 03",,"CCS2","120","1.5","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","14","full"
"mevnet-15-pile-001","mevnet-15","Bay 01","TNBX (GoToU)","CCS2","50","1.2","existing","available","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","15","full"
"mevnet-15-pile-002","mevnet-15","Bay 02","TNBX (GoToU)","CCS2","60","1.35","existing","available","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","15","full"
"mevnet-15-pile-003","mevnet-15","Bay 03","TNBX (GoToU)","CCS2","120","1.5","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","15","full"
"mevnet-15-pile-004","mevnet-15","Bay 04","TNBX (GoToU)","Type 2","7","0.75","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","15","full"
"mevnet-15-pile-005","mevnet-15","Bay 05","TNBX (GoToU)","Type 2","11","0.9","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","15","full"
"mevnet-15-pile-006","mevnet-15","Bay 06","TNBX (GoToU)","CCS2","60","1.35","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","15","full"
"mevnet-15-pile-007","mevnet-15","Bay 07","TNBX (GoToU)","Type 2","7","0.75","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","15","full"
"mevnet-15-pile-008","mevnet-15","Bay 08","TNBX (GoToU)","Type 2","11","0.9","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","15","full"
"mevnet-15-pile-009","mevnet-15","Bay 09","TNBX (GoToU)","CCS2","50","1.2","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","15","full"
"mevnet-15-pile-010","mevnet-15","Bay 10","TNBX (GoToU)","Type 2","7","0.75","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","15","full"
"mevnet-16-pile-001","mevnet-16","Bay 01","ChargeSini","CCS2","50","1.2","existing","available","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","16","full"
"mevnet-16-pile-002","mevnet-16","Bay 02","ChargeSini","CCS2","60","1.35","existing","available","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","16","full"
"mevnet-16-pile-003","mevnet-16","Bay 03","ChargeSini","CCS2","120","1.5","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","16","full"
"mevnet-16-pile-004","mevnet-16","Bay 04","ChargeSini","Type 2","7","0.75","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","16","full"
"mevnet-16-pile-005","mevnet-16","Bay 05","ChargeSini","Type 2","11","0.9","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","16","full"
"mevnet-16-pile-006","mevnet-16","Bay 06","ChargeSini","CCS2","60","1.35","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","16","full"
"mevnet-16-pile-007","mevnet-16","Bay 07","ChargeSini","Type 2","7","0.75","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","16","full"
"mevnet-16-pile-008","mevnet-16","Bay 08","ChargeSini","Type 2","11","0.9","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","16","full"
"mevnet-16-pile-009","mevnet-16","Bay 09","ChargeSini","CCS2","50","1.2","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","16","full"
"mevnet-16-pile-010","mevnet-16","Bay 10","ChargeSini","Type 2","7","0.75","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","16","full"
"mevnet-17-pile-001","mevnet-17","Bay 01",,"Type 2","7","0.75","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","17","full"
"mevnet-17-pile-002","mevnet-17","Bay 02",,"Type 2","11","0.9","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","17","full"
"mevnet-17-pile-003","mevnet-17","Bay 03",,"CCS2","120","1.5","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","17","full"
"mevnet-18-pile-001","mevnet-18","Bay 01",,"Type 2","7","0.75","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","18","full"
"mevnet-18-pile-002","mevnet-18","Bay 02",,"Type 2","11","0.9","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","18","full"
"mevnet-18-pile-003","mevnet-18","Bay 03",,"CCS2","120","1.5","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","18","full"
"mevnet-18-pile-004","mevnet-18","Bay 04",,"Type 2","7","0.75","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","18","full"
"mevnet-18-pile-005","mevnet-18","Bay 05",,"Type 2","11","0.9","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","18","full"
"mevnet-18-pile-006","mevnet-18","Bay 06",,"CCS2","60","1.35","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","18","full"
"mevnet-18-pile-007","mevnet-18","Bay 07",,"Type 2","7","0.75","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","18","full"
"mevnet-18-pile-008","mevnet-18","Bay 08",,"Type 2","11","0.9","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","18","full"
"mevnet-19-pile-001","mevnet-19","Bay 01",,"Type 2","7","0.75","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","19","full"
"mevnet-19-pile-002","mevnet-19","Bay 02",,"Type 2","11","0.9","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","19","full"
"mevnet-19-pile-003","mevnet-19","Bay 03",,"CCS2","120","1.5","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","19","full"
"mevnet-19-pile-004","mevnet-19","Bay 04",,"Type 2","7","0.75","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","19","full"
"mevnet-19-pile-005","mevnet-19","Bay 05",,"Type 2","11","0.9","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","19","full"
"mevnet-19-pile-006","mevnet-19","Bay 06",,"CCS2","60","1.35","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","19","full"
"mevnet-19-pile-007","mevnet-19","Bay 07",,"Type 2","7","0.75","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","19","full"
"mevnet-19-pile-008","mevnet-19","Bay 08",,"Type 2","11","0.9","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","19","full"
"mevnet-20-pile-001","mevnet-20","Bay 01",,"Type 2","7","0.75","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","20","full"
"mevnet-20-pile-002","mevnet-20","Bay 02",,"Type 2","11","0.9","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","20","full"
"mevnet-20-pile-003","mevnet-20","Bay 03",,"CCS2","120","1.5","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","20","full"
"mevnet-21-pile-001","mevnet-21","Bay 01","Shell Recharge","CCS2","50","1.2","existing","available","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","21","full"
"mevnet-21-pile-002","mevnet-21","Bay 02","Shell Recharge","CCS2","60","1.35","existing","available","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","21","full"
"mevnet-21-pile-003","mevnet-21","Bay 03","Shell Recharge","CCS2","120","1.5","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","21","full"
"mevnet-21-pile-004","mevnet-21","Bay 04","Shell Recharge","Type 2","7","0.75","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","21","full"
"mevnet-21-pile-005","mevnet-21","Bay 05","Shell Recharge","Type 2","11","0.9","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","21","full"
"mevnet-22-pile-001","mevnet-22","Bay 01",,"Type 2","7","0.75","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","22","full"
"mevnet-22-pile-002","mevnet-22","Bay 02",,"Type 2","11","0.9","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","22","full"
"mevnet-22-pile-003","mevnet-22","Bay 03",,"CCS2","120","1.5","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","22","full"
"mevnet-22-pile-004","mevnet-22","Bay 04",,"Type 2","7","0.75","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","22","full"
"mevnet-22-pile-005","mevnet-22","Bay 05",,"Type 2","11","0.9","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","22","full"
"mevnet-22-pile-006","mevnet-22","Bay 06",,"CCS2","60","1.35","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","22","full"
"mevnet-22-pile-007","mevnet-22","Bay 07",,"Type 2","7","0.75","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","22","full"
"mevnet-22-pile-008","mevnet-22","Bay 08",,"Type 2","11","0.9","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","22","full"
"mevnet-23-pile-001","mevnet-23","Bay 01",,"Type 2","7","0.75","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","23","full"
"mevnet-23-pile-002","mevnet-23","Bay 02",,"Type 2","11","0.9","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","23","full"
"mevnet-23-pile-003","mevnet-23","Bay 03",,"CCS2","120","1.5","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","23","full"
"mevnet-24-pile-001","mevnet-24","Bay 01","Gentari","Type 2","7","0.75","existing","available","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","24","full"
"mevnet-24-pile-002","mevnet-24","Bay 02","Gentari","Type 2","11","0.9","existing","available","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","24","full"
"mevnet-24-pile-003","mevnet-24","Bay 03","Gentari","CCS2","120","1.5","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","24","full"
"mevnet-24-pile-004","mevnet-24","Bay 04","Gentari","Type 2","7","0.75","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","24","full"
"mevnet-24-pile-005","mevnet-24","Bay 05","Gentari","Type 2","11","0.9","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","24","full"
"mevnet-24-pile-006","mevnet-24","Bay 06","Gentari","CCS2","60","1.35","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","24","full"
"mevnet-24-pile-007","mevnet-24","Bay 07","Gentari","Type 2","7","0.75","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","24","full"
"mevnet-25-pile-001","mevnet-25","Bay 01",,"Type 2","7","0.75","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","25","full"
"mevnet-25-pile-002","mevnet-25","Bay 02",,"Type 2","11","0.9","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","25","full"
"mevnet-25-pile-003","mevnet-25","Bay 03",,"CCS2","120","1.5","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","25","full"
"mevnet-25-pile-004","mevnet-25","Bay 04",,"Type 2","7","0.75","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","25","full"
"mevnet-25-pile-005","mevnet-25","Bay 05",,"Type 2","11","0.9","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","25","full"
"mevnet-25-pile-006","mevnet-25","Bay 06",,"CCS2","60","1.35","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","25","full"
"mevnet-25-pile-007","mevnet-25","Bay 07",,"Type 2","7","0.75","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","25","full"
"mevnet-25-pile-008","mevnet-25","Bay 08",,"Type 2","11","0.9","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","25","full"
"mevnet-26-pile-001","mevnet-26","Bay 01",,"Type 2","7","0.75","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","26","full"
"mevnet-26-pile-002","mevnet-26","Bay 02",,"Type 2","11","0.9","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","26","full"
"mevnet-26-pile-003","mevnet-26","Bay 03",,"CCS2","120","1.5","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","26","full"
"mevnet-26-pile-004","mevnet-26","Bay 04",,"Type 2","7","0.75","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","26","full"
